Arunachal Pradesh,16.1.3 - Offences committed against others migrants,0
Arunachal Pradesh,16.2 - Offences committed against Locals,0
Arunachal Pradesh,16.2.1 - Offences committed against Local SCs,0
Arunachal Pradesh,16.2.2 - Offences committed against Local STs,0
Arunachal Pradesh,16.2.3 - Offences committed against others locals,0
Arunachal Pradesh,"17 - Immoral Traffic (Prevention) Act, 1956",0
Arunachal Pradesh,17.1 - Under ITP Section 5,0
Arunachal Pradesh,17.2 - Under ITP Section 6,0
Arunachal Pradesh,17.3 - Under ITP Section 7,0
Arunachal Pradesh,17.4 - Under ITP Section 8,0
Arunachal Pradesh,17.5 - Other Section under ITP Act,0
Arunachal Pradesh,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",0
Arunachal Pradesh,"19 - Protection of Children from Sexual Offences Act, 2012",5
Arunachal Pradesh,19.1 - Under PCSO Act Section 4,2
Arunachal Pradesh,19.2 - Under PCSO Act Section 6,0
Arunachal Pradesh,19.4 - Under PCSO Act Section 10,1
Arunachal Pradesh,19.3 - Under PCSO Act Section 8,0
Arunachal Pradesh,19.5 - Under PCSO Act Sections 14 & 15,0
Arunachal Pradesh,19.6 - Other Acts of PCSO,2
Arunachal Pradesh,20 - Attempt to commit Murder u/s 307 IPC,2
Arunachal Pradesh,21 - Unnatural Offences u/s 377 IPC,0
Arunachal Pradesh,22 - Other crimes committed against children,3
Arunachal Pradesh,23 - Total crimes against Children,134
Assam,1 - Murder (Section 302 and 303 IPC),22
Assam,2 - Infanticide (Section 315 IPC),0
Assam,3 - Rape,125
Assam,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),70
Assam,4.1 - Sexual Harassment (Section 354A IPC),16
Assam,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),2
Assam,4.3 - Voyeurism (Section 354C IPC),0
Assam,4.4 - Stalking (Section 354D IPC),0
Assam,4.5 - Others assault,52
Assam,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),0
Assam,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",152
Assam,6.1 - Kidnapping & Abduction (Section 363 IPC),0
Assam,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),0
Assam,6.3 - Kidnapping for Ransom (Section 364A IPC),8
Assam,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),91
Assam,6.5 - Other Kidnapping,53
Assam,7 - Foeticide (Section 315 and 316 IPC),0
Assam,8 - Abetment of Suicide of child (Section 305 IPC),0
Assam,9 - Exposure and Abandonment (Section 317 IPC),0
Assam,10 - Procuration of minor girls (Section 366-A IPC),303
Assam,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Assam,12 - Buying of minors for prostitution (Section 373 IPC),0
Assam,13 - Selling of minors for prostitution (Section 372 IPC),0
Assam,"14 - Prohibition of Child Marriage Act, 2006",4
Assam,"15 - Transplantation of Human Organs Act, 1994",0
Assam,"16 - Child Labour (Prohibition & Regulation) Act, 1986",0
Assam,16.1 - Offences committed against Migrant,0
Assam,16.1.1 - Offences committed against SC migrants,0
Assam,16.1.2 - Offences committed against ST migrants,0
Assam,16.1.3 - Offences committed against others migrants,0
Assam,16.2 - Offences committed against Locals,0
Assam,16.2.1 - Offences committed against Local SCs,0
Assam,16.2.2 - Offences committed against Local STs,0
Assam,16.2.3 - Offences committed against others locals,0
Assam,"17 - Immoral Traffic (Prevention) Act, 1956",1
Assam,17.1 - Under ITP Section 5,0
Assam,17.2 - Under ITP Section 6,0
Assam,17.3 - Under ITP Section 7,0
Assam,17.4 - Under ITP Section 8,0
Assam,17.5 - Other Section under ITP Act,1
Assam,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",0
Assam,"19 - Protection of Children from Sexual Offences Act, 2012",311
Assam,19.1 - Under PCSO Act Section 4,124
Assam,19.2 - Under PCSO Act Section 6,16
Assam,19.4 - Under PCSO Act Section 10,58
Assam,19.3 - Under PCSO Act Section 8,27
Assam,19.5 - Under PCSO Act Sections 14 & 15,0
Assam,19.6 - Other Acts of PCSO,86
Assam,20 - Attempt to commit Murder u/s 307 IPC,216
Assam,21 - Unnatural Offences u/s 377 IPC,0
Assam,22 - Other crimes committed against children,181
Assam,23 - Total crimes against Children,1385
Bihar,1 - Murder (Section 302 and 303 IPC),61
Bihar,2 - Infanticide (Section 315 IPC),1
Bihar,3 - Rape,103
Bihar,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),31
Bihar,4.1 - Sexual Harassment (Section 354A IPC),10
Bihar,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),0
Bihar,4.3 - Voyeurism (Section 354C IPC),0
Bihar,4.4 - Stalking (Section 354D IPC),1
Bihar,4.5 - Others assault,20
Bihar,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),0
Bihar,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",1585
Bihar,6.1 - Kidnapping & Abduction (Section 363 IPC),97
Bihar,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),35
Bihar,6.3 - Kidnapping for Ransom (Section 364A IPC),5
Bihar,6.4 - Kidnapping & Abduction of Women to compel her for marriage (Section 366 IPC),1408
Bihar,6.5 - Other Kidnapping,40
Bihar,7 - Foeticide (Section 315 and 316 IPC),0
Bihar,8 - Abetment of Suicide of child (Section 305 IPC),0
Bihar,9 - Exposure and Abandonment (Section 317 IPC),1
Bihar,10 - Procuration of minor girls (Section 366-A IPC),280
Bihar,11 - Importation of Girls from Foreign Country (Section 366-B IPC),0
Bihar,12 - Buying of minors for prostitution (Section 373 IPC),0
Bihar,13 - Selling of minors for prostitution (Section 372 IPC),2
Bihar,"14 - Prohibition of Child Marriage Act, 2006",10
Bihar,"15 - Transplantation of Human Organs Act, 1994",0
Bihar,"16 - Child Labour (Prohibition & Regulation) Act, 1986",4
Bihar,16.1 - Offences committed against Migrant,0
Bihar,16.1.1 - Offences committed against SC migrants,0
Bihar,16.1.2 - Offences committed against ST migrants,0
Bihar,16.1.3 - Offences committed against others migrants,0
Bihar,16.2 - Offences committed against Locals,4
Bihar,16.2.1 - Offences committed against Local SCs,0
Bihar,16.2.2 - Offences committed against Local STs,0
Bihar,16.2.3 - Offences committed against others locals,4
Bihar,"17 - Immoral Traffic (Prevention) Act, 1956",3
Bihar,17.1 - Under ITP Section 5,3
Bihar,17.2 - Under ITP Section 6,0
Bihar,17.3 - Under ITP Section 7,0
Bihar,17.4 - Under ITP Section 8,0
Bihar,17.5 - Other Section under ITP Act,0
Bihar,"18 - Juvenile Justice (Care and Protection of Children) Act, 2000",0
Bihar,"19 - Protection of Children from Sexual Offences Act, 2012",57
Bihar,19.1 - Under PCSO Act Section 4,44
Bihar,19.2 - Under PCSO Act Section 6,4
Bihar,19.4 - Under PCSO Act Section 10,6
Bihar,19.3 - Under PCSO Act Section 8,0
Bihar,19.5 - Under PCSO Act Sections 14 & 15,1
Bihar,19.6 - Other Acts of PCSO,2
Bihar,20 - Attempt to commit Murder u/s 307 IPC,17
Bihar,21 - Unnatural Offences u/s 377 IPC,3
Bihar,22 - Other crimes committed against children,97
Bihar,23 - Total crimes against Children,2255
Chhattisgarh,1 - Murder (Section 302 and 303 IPC),50
Chhattisgarh,2 - Infanticide (Section 315 IPC),5
Chhattisgarh,3 - Rape,806
Chhattisgarh,4 - Assault on women with intent to outrage her Modesty (Section 354 IPC),447
Chhattisgarh,4.1 - Sexual Harassment (Section 354A IPC),185
Chhattisgarh,4.2 - Assault on women with intent to Disrobe (Section 354B IPC),18
Chhattisgarh,4.3 - Voyeurism (Section 354C IPC),3
Chhattisgarh,4.4 - Stalking (Section 354D IPC),20
Chhattisgarh,4.5 - Others assault,221
Chhattisgarh,5 - Insult to the Modesty of Women (Girls Children) (Section 509 IPC),14
Chhattisgarh,"6 - Kidnapping & Abduction_Total (Section 363,364,364A, 366-369 IPC)",1844
Chhattisgarh,6.1 - Kidnapping & Abduction (Section 363 IPC),1235
Chhattisgarh,6.2 - Kidnaping & Abduction in order to Murder (Section 364 IPC),6
Chhattisgarh,6.3 - Kidnapping for Ransom (Section 364A IPC),3
